사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-03,2호선,34,서초,22,1,"1,128","4,502","6,919","18,488","14,316","47,105","22,518","120,795","23,140","88,534","17,478","37,906","22,532","25,753","22,560","20,335","27,484","24,798","29,788","22,577","34,206","19,621","40,987","20,168","64,121","20,782","102,833","21,722","44,984","14,978","27,269","8,889","27,314","8,797","21,168","10,225","3,772","3,122",2,10,0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,35,방배,10,1,"2,640","3,375","9,243","15,871","23,432","29,160","31,329","76,467","23,652","49,303","17,572","25,186","18,126","21,589","20,221","21,853","23,797","23,135","24,941","22,845","27,566","22,046","36,638","23,919","47,096","30,909","71,532","38,404","30,253","28,538","21,083","17,413","22,190","16,913","18,934","20,513","3,376","6,266",2,42,1,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,36,사당,235,5,"11,834","3,319","23,876","26,610","69,086","40,906","99,472","64,517","68,276","48,295","41,436","38,259","39,445","40,877","44,786","42,753","46,705","44,997","46,653","45,338","47,020","54,577","52,739","71,010","67,007","99,863","89,647","148,914","57,013","106,542","49,216","60,202","62,774","56,735","62,471","66,013","9,296","23,220",8,"1,298",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,37,낙성대(강감찬),36,5,"11,207","1,843","24,900","7,906","76,695","20,015","122,272","37,293","75,933","30,814","39,130","23,207","33,284","21,597","36,767","25,386","36,372","26,621","33,196","28,862","34,515","33,783","36,861","39,166","44,331","57,516","48,973","94,110","27,935","86,096","20,851","54,005","21,934","50,952","17,918","62,390","4,354","21,503",0,"1,279",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,38,서울대입구(관악구청),"3,861",8,"27,348","2,304","41,013","12,770","123,041","31,071","182,584","63,548","114,799","59,610","60,864","47,103","54,425","43,365","59,490","48,831","61,943","53,059","57,710","56,559","62,168","63,502","70,233","73,496","77,849","106,924","88,155","174,544","54,257","146,884","45,068","84,647","54,198","76,000","48,991","94,391","8,974","32,619",1,"6,122",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,39,봉천,56,0,"15,349","1,503","28,299","6,785","80,341","13,214","121,028","25,931","68,826","19,044","36,730","18,475","30,212","19,206","31,779","21,854","32,862","24,056","28,019","26,112","27,587","33,826","30,340","37,850","29,452","52,918","33,022","84,991","18,500","74,113","14,358","44,999","14,118","41,291","10,390","46,863","2,703","17,441",0,128,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,40,신림,188,7,"38,876","3,540","74,756","18,535","203,285","34,765","307,192","60,843","178,215","48,476","92,030","40,484","76,089","42,095","81,729","50,120","77,763","57,600","70,913","65,363","68,501","82,147","76,614","99,542","83,494","144,912","85,260","246,318","53,481","222,213","43,604","130,983","48,974","122,003","46,505","138,670","9,237","59,751",2,249,1,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,41,신대방,116,4,"24,724","1,586","35,896","8,717","89,518","17,357","127,229","31,643","75,239","20,941","40,359","16,863","32,159","17,596","33,323","21,213","32,417","23,941","28,355","27,288","27,762","36,381","30,552","43,158","33,789","62,263","39,784","92,146","21,629","83,039","15,148","52,099","12,354","55,314","10,176","61,168","2,661","25,044",1,51,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,42,구로디지털단지,158,6,"39,244","5,613","52,599","20,990","135,894","82,945","181,310","264,030","111,304","155,758","61,411","59,306","55,926","45,502","60,882","46,582","63,360","55,829","58,289","57,245","60,909","65,089","72,631","74,813","124,186","108,628","232,305","162,786","116,913","132,639","65,823","79,149","61,208","77,677","52,522","88,247","7,433","34,306",1,162,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,43,대림(구로구청),352,8,"34,318","3,171","30,146","10,470","65,576","23,687","90,891","58,183","60,478","34,659","34,084","28,803","28,818","28,694","32,007","28,891","31,935","30,930","29,656","31,741","30,596","38,684","34,565","43,705","42,612","62,347","54,352","71,221","27,879","53,710","18,418","36,150","15,802","45,174","12,254","48,711","3,101","16,623",1,392,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,44,신도림,"3,538",33,"34,575","4,619","48,285","16,493","131,971","39,547","133,392","112,491","82,265","67,520","54,401","59,037","53,415","53,830","61,117","57,927","63,714","61,646","62,233","59,841","65,697","66,725","74,289","76,486","90,803","102,119","126,084","164,045","72,416","123,257","59,242","68,470","63,928","63,766","48,054","79,167","7,964","31,099",20,"6,293",0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,45,문래,9,1,"3,384","1,939","12,436","9,565","42,394","35,946","46,059","124,472","24,895","55,109","17,433","21,788","16,983","18,024","19,357","20,362","21,289","21,743","21,778","20,817","23,602","22,006","30,227","24,532","52,755","31,644","104,281","52,409","37,441","38,713","24,260","20,277","26,740","17,819","23,521","20,133","3,260","7,084",4,263,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,46,영등포구청,40,0,"5,443","3,225","12,667","13,614","41,526","37,090","46,701","126,853","28,859","55,671","22,208","26,326","23,244","22,814","25,388","23,723","26,954","26,576","27,581","24,823","29,239","25,262","35,437","28,349","53,458","34,399","107,844","53,411","37,100","36,786","26,086","21,153","27,633","20,122","21,232","22,153","3,887","8,885",1,231,0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,47,당산,35,3,"5,965","2,844","15,532","11,322","44,197","29,233","54,184","79,641","31,031","37,684","21,371","19,357","21,051","17,568","22,469","19,672","22,480","22,651","21,588","21,600","23,884","23,669","27,620","28,831","39,607","42,198","61,769","71,432","26,473","48,612","19,762","30,435","22,514","29,233","20,166","33,580","4,002","12,133",6,246,0,0,0,1,0,0,2021-04-03 10:21:59
2021-03,2호선,48,합정,47,4,"6,466","2,872","15,535","13,558","42,947","32,015","55,563","88,424","35,491","74,314","24,368","40,341","25,441","39,158","29,717","43,445","34,177","48,321","35,979","45,266","39,204","46,203","46,084","53,594","65,520","69,450","107,308","102,983","68,618","69,308","52,472","32,861","66,219","27,870","68,676","30,490","10,032","12,836",8,597,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,49,홍대입구,195,6,"9,869","2,770","19,841","12,895","56,626","31,830","72,192","93,954","45,502","101,475","32,910","68,695","38,587","76,712","47,405","97,191","57,020","109,543","61,714","107,418","74,426","109,302","95,728","118,438","121,392","143,062","152,504","180,663","118,606","116,960","115,505","52,896","162,356","39,535","163,115","42,898","19,565","19,349",75,"2,299",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,50,신촌,40,1,"4,482","2,577","11,695","15,388","31,773","33,486","44,840","75,580","31,134","80,366","29,317","51,391","34,730","47,481","43,191","53,151","45,090","59,528","46,894","54,133","55,099","50,035","66,126","53,472","84,435","70,566","83,991","97,969","59,786","62,197","60,487","30,362","75,022","26,832","71,773","30,368","9,794","12,640",4,69,3,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,51,이대,34,1,"2,554","1,384","6,414","9,230","18,782","11,508","24,778","33,495","15,511","30,816","11,599","21,849","13,632","18,443","18,024","20,901","20,324","23,497","18,796","19,655","21,837","18,069","29,046","18,624","37,396","22,402","33,519","30,938","20,642","23,584","16,008","14,125","17,537","14,472","13,157","17,650","2,863","7,035",2,54,0,4,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,52,아현,9,0,"4,551","1,076","10,878","7,981","27,569","13,049","36,839","22,813","20,372","11,549","14,358","9,607","14,453","9,214","14,774","10,877","14,288","12,090","13,563","12,112","15,311","13,690","24,145","15,912","18,738","21,341","19,794","32,204","11,924","25,036","7,860","15,684","6,672","15,644","5,285","17,626","1,216","6,759",5,37,1,1,0,1,0,0,2021-04-03 10:21:59
2021-03,2호선,53,충정로(경기대입구),30,2,"3,019",939,"6,099","5,138","15,802","20,048","21,252","59,712","13,421","27,271","10,025","12,064","10,588","9,421","10,917","9,827","11,966","10,918","12,293","10,534","13,435","10,666","16,053","11,623","24,664","15,108","46,899","20,707","15,831","15,207","9,732","9,606","9,968","10,036","8,431","11,492","1,199","3,859",1,68,0,2,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,54,용답,4,0,"2,474",212,"2,872",905,"7,261","1,732","11,831","3,248","6,245","2,388","3,712","2,401","3,676","2,733","4,100","3,246","4,497","3,771","4,253","3,623","4,095","4,532","4,870","5,625","4,539","6,185","3,755","9,802","2,190","6,880","1,273","4,346","1,172","5,177","1,145","5,607",281,"2,192",0,3,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,55,신답,0,0,869,85,"1,563",460,"6,481",979,"9,545","1,743","4,144","1,104","2,222",959,"1,901","1,217","1,997","1,410","1,872","1,539","1,742","1,708","1,726","2,497","1,770","2,999","1,863","4,120","2,243","9,051","1,003","7,029",549,"3,173",502,"3,404",451,"3,474",92,"1,567",0,0,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,56,신설동,30,0,"1,166",426,"1,222","2,431","3,434","5,723","5,939","13,558","3,843","7,980","3,604","5,934","4,513","5,992","5,669","6,108","6,482","6,519","7,084","5,979","8,399","5,502","8,731","4,442","11,224","4,916","11,099","5,711","4,584","3,987","2,746","2,557","2,568","2,225","1,922","2,498",362,"1,171",3,202,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,57,도림천,1,0,260,292,"1,047",874,"3,194","4,910","3,487","6,187","1,884","2,207","1,781","1,583","1,593","1,256","2,557","1,907","1,657","1,430","2,348","1,800","2,579","1,512","3,090","1,774","3,000","2,240","3,938","2,827","2,331","2,697",960,"1,574","1,107","1,464",424,"1,560",166,723,1,43,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,58,양천구청,11,0,"4,244",847,"11,052","2,310","33,040","5,219","29,079","9,705","15,168","4,738","9,843","4,127","8,733","4,684","9,431","5,954","8,538","6,837","7,254","7,030","7,101","8,970","7,557","11,216","9,326","17,354","9,093","28,464","3,725","25,601","2,787","14,218","2,091","12,962","2,264","13,343",635,"7,127",2,442,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,59,신정네거리,48,3,"7,732","1,097","16,045","4,025","49,679","5,227","44,191","11,927","22,336","7,961","15,032","7,166","13,298","8,383","13,707","9,395","13,230","11,016","11,702","11,462","11,317","14,987","12,825","18,522","13,454","26,591","12,157","46,169","7,022","37,598","5,062","20,052","4,231","17,418","3,870","18,906",919,"9,038",4,386,0,0,3,3,0,0,2021-04-03 10:21:59
